,Site,Year,Date,Day,Stage,Mean,Stdev,Sterror,Logmean,,
370,Ice,2012,6/4/2012,6/4/2017,Adultcumulative,0,,,0,,
375,Ice,2012,6/12/2012,6/12/2017,Adultcumulative,0,,,0,,
380,Ice,2016,6/4/2016,6/4/2017,Adultcumulative,,,,0,,
385,Ice,2016,6/9/2016,6/9/2017,Adultcumulative,,,,0,,
390,Ice,2017,5/17/2017,5/17/2017,Adultcumulative,0,,,0,,
395,Ice,2017,5/23/2017,5/23/2017,Adultcumulative,0,,,0,,
400,Ice,2017,5/29/2017,5/29/2017,Adultcumulative,0,,,0,,
405,Ice,2017,6/4/2017,6/4/2017,Adultcumulative,0,,,0,,
410,Ice,2017,6/7/2017,6/7/2017,Adultcumulative,0.3,,,0.113943352,,
415,Ice,2017,6/8/2017,6/8/2017,Adultcumulative,0.3,,,0.113943352,,
420,Ice,2017,6/10/2017,6/10/2017,Adultcumulative,7.667,,,0.937868797,,
425,Ice,2017,6/17/2017,6/17/2017,Adultcumulative,7.667,,,0.937868797,,
299,Ice,2011,5/24/2011,5/24/2017,Beetle,0,0,0,0,,
304,Ice,2011,5/30/2011,5/30/2017,Beetle,0.333333333,0.6172134,0.159363815,0.124938737,,
309,Ice,2011,6/1/2011,6/1/2017,Beetle,0.133333333,0.351865775,0.090851353,0.054357662,,
314,Ice,2011,6/6/2011,6/6/2017,Beetle,3.866666667,4.155317878,1.072898463,0.687231601,,
319,Ice,2011,6/8/2011,6/8/2017,Beetle,1.8,1.521277659,0.392792202,0.447158031,,
324,Ice,2011,6/10/2011,6/10/2017,Beetle,1.2,1.014185106,0.261861468,0.342422681,,
329,Ice,2011,6/13/2011,6/13/2017,Beetle,1.333333333,1.5430335,0.398409536,0.367976785,,
334,Ice,2011,6/15/2011,6/15/2017,Beetle,0.333333333,0.487950036,0.125988158,0.124938737,,
339,Ice,2011,6/17/2011,6/17/2017,Beetle,1.333333333,1.588650221,0.410187723,0.367976785,,
344,Ice,2012,5/8/2012,5/8/2017,Beetle,0,0,0,0,,
349,Ice,2012,5/14/2012,5/14/2017,Beetle,0,0,0,0,,
354,Ice,2012,5/21/2012,5/21/2017,Beetle,0,0,0,0,,
359,Ice,2012,5/28/2012,5/28/2017,Beetle,1.866666667,1.457329587,0.376280881,0.457377197,,
364,Ice,2012,5/31/2012,5/31/2017,Beetle,1.066666667,1.032795559,0.266666667,0.315270435,,
369,Ice,2012,6/4/2012,6/4/2017,Beetle,1.466666667,1.302013093,0.336178335,0.392110465,,
374,Ice,2012,6/12/2012,6/12/2017,Beetle,0.733333333,1.032795559,0.266666667,0.238882089,,
379,Ice,2016,6/4/2016,6/4/2017,Beetle,0.6,0.736788398,0.190237946,0.204119983,,
384,Ice,2016,6/9/2016,6/9/2017,Beetle,0,0,0,0,,
389,Ice,2017,5/17/2017,5/17/2017,Beetle,0,0,0,0,,
394,Ice,2017,5/23/2017,5/23/2017,Beetle,0,0,0,0,,
399,Ice,2017,5/29/2017,5/29/2017,Beetle,5.2,2.75680975,0.711805217,0.792391689,,
404,Ice,2017,6/4/2017,6/4/2017,Beetle,1.133333333,0.990430402,0.25572803,0.329058719,,
409,Ice,2017,6/7/2017,6/7/2017,Beetle,0.333333333,0.487950036,0.125988158,0.124938737,,
414,Ice,2017,6/8/2017,6/8/2017,Beetle,,,,0,,
419,Ice,2017,6/10/2017,6/10/2017,Beetle,0.266666667,0.457737708,0.118187368,0.102662342,,
424,Ice,2017,6/17/2017,6/17/2017,Beetle,0.266666667,0.457737708,0.118187368,0.102662342,,
296,Ice,2011,5/24/2011,5/24/2017,Larvae,2.466666667,2.231804736,0.576249505,0.539912085,,
301,Ice,2011,5/30/2011,5/30/2017,Larvae,5.2,4.708654646,1.215769402,0.792391689,,
306,Ice,2011,6/1/2011,6/1/2017,Larvae,3.733333333,4.216746658,1.088759306,0.67516709,,
311,Ice,2011,6/6/2011,6/6/2017,Larvae,1.933333333,1.751190072,0.452155332,0.467361417,,
316,Ice,2011,6/8/2011,6/8/2017,Larvae,0.933333333,1.94446712,0.502059252,0.286306739,,
321,Ice,2011,6/10/2011,6/10/2017,Larvae,0.733333333,0.961150105,0.24816789,0.238882089,,
326,Ice,2011,6/13/2011,6/13/2017,Larvae,0.4,0.632455532,0.163299316,0.146128036,,
331,Ice,2011,6/15/2011,6/15/2017,Larvae,0,0,0,0,,
336,Ice,2011,6/17/2011,6/17/2017,Larvae,0,0,0,0,,
341,Ice,2012,5/8/2012,5/8/2017,Larvae,0.733333333,1.667618776,0.430577316,0.238882089,,
346,Ice,2012,5/14/2012,5/14/2017,Larvae,0.4,0.632455532,0.163299316,0.146128036,,
351,Ice,2012,5/21/2012,5/21/2017,Larvae,0.933333333,1.334523279,0.344572429,0.286306739,,
356,Ice,2012,5/28/2012,5/28/2017,Larvae,0.266666667,0.59361684,0.153271209,0.102662342,,
361,Ice,2012,5/31/2012,5/31/2017,Larvae,0.133333333,0.351865775,0.090851353,0.054357662,,
366,Ice,2012,6/4/2012,6/4/2017,Larvae,0,0,0,0,,
371,Ice,2012,6/12/2012,6/12/2017,Larvae,0,0,0,0,,
376,Ice,2016,6/4/2016,6/4/2017,Larvae,0.066666667,0.25819889,0.066666667,0.028028724,,
381,Ice,2016,6/9/2016,6/9/2017,Larvae,0,0,0,0,,
386,Ice,2017,5/17/2017,5/17/2017,Larvae,8.066666667,9.837731059,2.540091237,0.957447649,,
391,Ice,2017,5/23/2017,5/23/2017,Larvae,3.866666667,3.440653316,0.888372866,0.687231601,,
396,Ice,2017,5/29/2017,5/29/2017,Larvae,2.266666667,1.579632266,0.407859297,0.514104821,,
401,Ice,2017,6/4/2017,6/4/2017,Larvae,0,0,0,0,,
406,Ice,2017,6/7/2017,6/7/2017,Larvae,0,0,0,0,,
411,Ice,2017,6/8/2017,6/8/2017,Larvae,0,,,0,,
416,Ice,2017,6/10/2017,6/10/2017,Larvae,0,0,0,0,,
421,Ice,2017,6/17/2017,6/17/2017,Larvae,0,0,0,0,,
297,Ice,2011,5/24/2011,5/24/2017,Pupae,0,0,0,0,,
302,Ice,2011,5/30/2011,5/30/2017,Pupae,0,0,0,0,,
307,Ice,2011,6/1/2011,6/1/2017,Pupae,0,0,0,0,,
312,Ice,2011,6/6/2011,6/6/2017,Pupae,0,0,0,0,,
317,Ice,2011,6/8/2011,6/8/2017,Pupae,0,0,0,0,,
322,Ice,2011,6/10/2011,6/10/2017,Pupae,0.466666667,1.060098827,0.27371634,0.166331422,,
327,Ice,2011,6/13/2011,6/13/2017,Pupae,2.733333333,3.594970031,0.928217271,0.572096768,,
332,Ice,2011,6/15/2011,6/15/2017,Pupae,1.533333333,2.030716505,0.524328747,0.403692338,,
337,Ice,2011,6/17/2011,6/17/2017,Pupae,0.933333333,1.667618776,0.430577316,0.286306739,,
342,Ice,2012,5/8/2012,5/8/2017,Pupae,0,0,0,0,,
347,Ice,2012,5/14/2012,5/14/2017,Pupae,0,0,0,0,,
352,Ice,2012,5/21/2012,5/21/2017,Pupae,0,0,0,0,,
357,Ice,2012,5/28/2012,5/28/2017,Pupae,0.066666667,0.25819889,0.066666667,0.028028724,,
362,Ice,2012,5/31/2012,5/31/2017,Pupae,0.066666667,0.25819889,0.066666667,0.028028724,,
367,Ice,2012,6/4/2012,6/4/2017,Pupae,0.066666667,0.25819889,0.066666667,0.028028724,,
372,Ice,2012,6/12/2012,6/12/2017,Pupae,0,0,0,0,,
377,Ice,2016,6/4/2016,6/4/2017,Pupae,3.533333333,3.067494712,0.792023729,0.656417654,,
382,Ice,2016,6/9/2016,6/9/2017,Pupae,0.466666667,0.833809388,0.215288658,0.166331422,,
387,Ice,2017,5/17/2017,5/17/2017,Pupae,0,0,0,0,,
392,Ice,2017,5/23/2017,5/23/2017,Pupae,7,4.472135955,1.154700538,0.903089987,,
397,Ice,2017,5/29/2017,5/29/2017,Pupae,0.133333333,0.351865775,0.090851353,0.054357662,,
402,Ice,2017,6/4/2017,6/4/2017,Pupae,1.8,1.897366596,0.489897949,0.447158031,,
407,Ice,2017,6/7/2017,6/7/2017,Pupae,1.066666667,1.222799287,0.315725418,0.315270435,,
412,Ice,2017,6/8/2017,6/8/2017,Pupae,,,,0,,
417,Ice,2017,6/10/2017,6/10/2017,Pupae,0,0,0,0,,
422,Ice,2017,6/17/2017,6/17/2017,Pupae,0,0,0,0,,
298,Ice,2011,5/24/2011,5/24/2017,Totallarvpup,2.466666667,2.231804736,0.576249505,0.539912085,,
303,Ice,2011,5/30/2011,5/30/2017,Totallarvpup,5.2,4.708654646,1.215769402,0.792391689,,
308,Ice,2011,6/1/2011,6/1/2017,Totallarvpup,3.733333333,4.216746658,1.088759306,0.67516709,,
313,Ice,2011,6/6/2011,6/6/2017,Totallarvpup,1.933333333,1.751190072,0.452155332,0.467361417,,
318,Ice,2011,6/8/2011,6/8/2017,Totallarvpup,0.933333333,1.94446712,0.502059252,0.286306739,,
323,Ice,2011,6/10/2011,6/10/2017,Totallarvpup,1.2,1.373213125,0.354562104,0.342422681,,
328,Ice,2011,6/13/2011,6/13/2017,Totallarvpup,3.133333333,3.870523528,0.999364878,0.61630043,,
333,Ice,2011,6/15/2011,6/15/2017,Totallarvpup,1.533333333,2.030716505,0.524328747,0.403692338,,
338,Ice,2011,6/17/2011,6/17/2017,Totallarvpup,0.933333333,1.667618776,0.430577316,0.286306739,,
343,Ice,2012,5/8/2012,5/8/2017,Totallarvpup,0.733333333,1.667618776,0.430577316,0.238882089,,
348,Ice,2012,5/14/2012,5/14/2017,Totallarvpup,0.4,0.632455532,0.163299316,0.146128036,,
353,Ice,2012,5/21/2012,5/21/2017,Totallarvpup,0.933333333,1.334523279,0.344572429,0.286306739,,
358,Ice,2012,5/28/2012,5/28/2017,Totallarvpup,0.333333333,0.6172134,0.159363815,0.124938737,,
363,Ice,2012,5/31/2012,5/31/2017,Totallarvpup,0.2,0.414039336,0.106904497,0.079181246,,
368,Ice,2012,6/4/2012,6/4/2017,Totallarvpup,0.066666667,0.25819889,0.066666667,0.028028724,,
373,Ice,2012,6/12/2012,6/12/2017,Totallarvpup,0,0,0,0,,
378,Ice,2016,6/4/2016,6/4/2017,Totallarvpup,3.6,3.018987531,0.779499229,0.662757832,,
383,Ice,2016,6/9/2016,6/9/2017,Totallarvpup,0.466666667,0.833809388,0.215288658,0.166331422,,
388,Ice,2017,5/17/2017,5/17/2017,Totallarvpup,8.066666667,9.837731059,2.540091237,0.957447649,,
393,Ice,2017,5/23/2017,5/23/2017,Totallarvpup,10.86666667,6.345602152,1.63842743,1.074328743,,
398,Ice,2017,5/29/2017,5/29/2017,Totallarvpup,2.4,1.764733893,0.455652332,0.531478917,,
403,Ice,2017,6/4/2017,6/4/2017,Totallarvpup,1.8,1.897366596,0.489897949,0.447158031,,
408,Ice,2017,6/7/2017,6/7/2017,Totallarvpup,1.066666667,1.222799287,0.315725418,0.315270435,,
413,Ice,2017,6/8/2017,6/8/2017,Totallarvpup,,,,0,,
418,Ice,2017,6/10/2017,6/10/2017,Totallarvpup,0,0,0,0,,
423,Ice,2017,6/17/2017,6/17/2017,Totallarvpup,0,0,0,0,,
430,JuncusTown,2017,5/19/2017,5/19/2017,Adultcumulative,,,,0,,
435,JuncusTown,2017,5/23/2017,5/23/2017,Adultcumulative,,,,0,,
440,JuncusTown,2017,5/28/2017,5/28/2017,Adultcumulative,,,,0,,
445,JuncusTown,2017,6/5/2017,6/5/2017,Adultcumulative,,,,0,,
429,JuncusTown,2017,5/19/2017,5/19/2017,Beetle,0,0,0,0,,
434,JuncusTown,2017,5/23/2017,5/23/2017,Beetle,0,0,0,0,,
439,JuncusTown,2017,5/28/2017,5/28/2017,Beetle,0,0,0,0,,
444,JuncusTown,2017,6/5/2017,6/5/2017,Beetle,0,0,0,0,,
426,JuncusTown,2017,5/19/2017,5/19/2017,Larvae,3.4,3.641035959,0.940111442,0.643452676,,
431,JuncusTown,2017,5/23/2017,5/23/2017,Larvae,2.466666667,3.377798663,0.872143865,0.539912085,,
436,JuncusTown,2017,5/28/2017,5/28/2017,Larvae,0,0,0,0,,
441,JuncusTown,2017,6/5/2017,6/5/2017,Larvae,0,0,0,0,,
427,JuncusTown,2017,5/19/2017,5/19/2017,Pupae,0,0,0,0,,
432,JuncusTown,2017,5/23/2017,5/23/2017,Pupae,0.2,0.560611911,0.144749373,0.079181246,,
437,JuncusTown,2017,5/28/2017,5/28/2017,Pupae,2,2.32992949,0.601585208,0.477121255,,
442,JuncusTown,2017,6/5/2017,6/5/2017,Pupae,0,0,0,0,,
428,JuncusTown,2017,5/19/2017,5/19/2017,Totallarvpup,3.4,3.641035959,0.940111442,0.643452676,,
433,JuncusTown,2017,5/23/2017,5/23/2017,Totallarvpup,2.666666667,3.518657753,0.908513525,0.56427143,,
438,JuncusTown,2017,5/28/2017,5/28/2017,Totallarvpup,2,2.32992949,0.601585208,0.477121255,,
443,JuncusTown,2017,6/5/2017,6/5/2017,Totallarvpup,0,0,0,0,,
450,Mozvalley,2017,5/23/2017,5/23/2017,Adultcumulative,,,,0,,
455,Mozvalley,2017,5/29/2017,5/29/2017,Adultcumulative,,,,0,,
460,Mozvalley,2017,6/4/2017,6/4/2017,Adultcumulative,,,,0,,
465,Mozvalley,2017,6/10/2017,6/10/2017,Adultcumulative,,,,0,,
470,Mozvalley,2017,6/16/2017,6/16/2017,Adultcumulative,,,,0,,
449,Mozvalley,2017,5/23/2017,5/23/2017,Beetle,0,0,0,0,,
454,Mozvalley,2017,5/29/2017,5/29/2017,Beetle,0.666666667,0.899735411,0.232310684,0.22184875,,
459,Mozvalley,2017,6/4/2017,6/4/2017,Beetle,0.466666667,0.516397779,0.133333333,0.166331422,,
464,Mozvalley,2017,6/10/2017,6/10/2017,Beetle,0.266666667,0.457737708,0.118187368,0.102662342,,
469,Mozvalley,2017,6/16/2017,6/16/2017,Beetle,0,0,0,0,,
446,Mozvalley,2017,5/23/2017,5/23/2017,Larvae,43.13333333,24.59636055,6.350752986,1.64476673,,
451,Mozvalley,2017,5/29/2017,5/29/2017,Larvae,5.133333333,3.335237551,0.861154633,0.787696568,,
456,Mozvalley,2017,6/4/2017,6/4/2017,Larvae,2.266666667,2.344192419,0.60526788,0.514104821,,
461,Mozvalley,2017,6/10/2017,6/10/2017,Larvae,0.066666667,0.25819889,0.066666667,0.028028724,,
466,Mozvalley,2017,6/16/2017,6/16/2017,Larvae,0,0,0,0,,
447,Mozvalley,2017,5/23/2017,5/23/2017,Pupae,0,0,0,0,,
452,Mozvalley,2017,5/29/2017,5/29/2017,Pupae,1.333333333,2.439750182,0.629940788,0.367976785,,
457,Mozvalley,2017,6/4/2017,6/4/2017,Pupae,16.33333333,12.91547614,3.334761599,1.238882089,,
462,Mozvalley,2017,6/10/2017,6/10/2017,Pupae,4.533333333,2.614975189,0.67518369,0.742986833,,
467,Mozvalley,2017,6/16/2017,6/16/2017,Pupae,0.066666667,0.25819889,0.066666667,0.028028724,,
448,Mozvalley,2017,5/23/2017,5/23/2017,Totallarvpup,43.13333333,24.59636055,6.350752986,1.64476673,,
453,Mozvalley,2017,5/29/2017,5/29/2017,Totallarvpup,6.466666667,5.083118653,1.312455593,0.873126764,,
458,Mozvalley,2017,6/4/2017,6/4/2017,Totallarvpup,18.6,13.06467429,3.373284396,1.292256071,,
463,Mozvalley,2017,6/10/2017,6/10/2017,Totallarvpup,4.6,2.693908472,0.695564177,0.748188027,,
468,Mozvalley,2017,6/16/2017,6/16/2017,Totallarvpup,0.066666667,0.25819889,0.066666667,0.028028724,,
475,NoOil,2017,5/19/2017,5/19/2017,Adultcumulative,,,,0,,
480,NoOil,2017,5/22/2017,5/22/2017,Adultcumulative,,,,0,,
485,NoOil,2017,5/28/2017,5/28/2017,Adultcumulative,,,,0,,
490,NoOil,2017,6/5/2017,6/5/2017,Adultcumulative,,,,0,,
474,NoOil,2017,5/19/2017,5/19/2017,Beetle,0.333333333,0.5,0.166666667,0.124938737,,
479,NoOil,2017,5/22/2017,5/22/2017,Beetle,0.3,0.483045892,0.152752523,0.113943352,,
484,NoOil,2017,5/28/2017,5/28/2017,Beetle,0.3,0.674948558,0.213437475,0.113943352,,
489,NoOil,2017,6/5/2017,6/5/2017,Beetle,0,0,0,0,,
471,NoOil,2017,5/19/2017,5/19/2017,Larvae,26.88888889,8.767046887,2.922348962,1.445431212,,
476,NoOil,2017,5/22/2017,5/22/2017,Larvae,10.7,3.622460797,1.145522685,1.068185862,,
481,NoOil,2017,5/28/2017,5/28/2017,Larvae,0.5,0.971825316,0.307318149,0.176091259,,
486,NoOil,2017,6/5/2017,6/5/2017,Larvae,0,0,0,0,,
472,NoOil,2017,5/19/2017,5/19/2017,Pupae,2.222222222,2.818589088,0.939529696,0.508155488,,
477,NoOil,2017,5/22/2017,5/22/2017,Pupae,14.7,9.69593271,3.06612314,1.195899652,,
482,NoOil,2017,5/28/2017,5/28/2017,Pupae,32.6,26.62580202,8.419817892,1.526339277,,
487,NoOil,2017,6/5/2017,6/5/2017,Pupae,0.1,0.316227766,0.1,0.041392685,,
473,NoOil,2017,5/19/2017,5/19/2017,Totallarvpup,29.11111111,10.19122716,3.397075721,1.478726781,,
478,NoOil,2017,5/22/2017,5/22/2017,Totallarvpup,25.4,12.72966788,4.025474437,1.421603927,,
483,NoOil,2017,5/28/2017,5/28/2017,Totallarvpup,32.6,26.62580202,8.419817892,1.526339277,,
488,NoOil,2017,6/5/2017,6/5/2017,Totallarvpup,0.1,0.316227766,0.1,0.041392685,,
495,Oil,2017,5/17/2017,5/17/2017,Adultcumulative,0,,,0,,
500,Oil,2017,5/19/2017,5/19/2017,Adultcumulative,0,,,0,,
505,Oil,2017,5/22/2017,5/22/2017,Adultcumulative,0,,,0,,
510,Oil,2017,5/25/2017,5/25/2017,Adultcumulative,0,,,0,,
515,Oil,2017,5/28/2017,5/28/2017,Adultcumulative,0,,,0,,
520,Oil,2017,5/30/2017,5/30/2017,Adultcumulative,17.33,,,1.263162465,,
525,Oil,2017,6/1/2017,6/1/2017,Adultcumulative,58.33,,,1.773274348,,
530,Oil,2017,6/2/2017,6/2/2017,Adultcumulative,121,,,2.086359831,,
535,Oil,2017,6/5/2017,6/5/2017,Adultcumulative,138.33,,,2.144044637,,
540,Oil,2017,6/8/2017,6/8/2017,Adultcumulative,138.33,,,2.144044637,,
494,Oil,2017,5/17/2017,5/17/2017,Beetle,0,0,0,0,,
499,Oil,2017,5/19/2017,5/19/2017,Beetle,0.066666667,0.25819889,0.066666667,0.028028724,,
504,Oil,2017,5/22/2017,5/22/2017,Beetle,0.066666667,0.25819889,0.066666667,0.028028724,,
509,Oil,2017,5/25/2017,5/25/2017,Beetle,0.2,0.560611911,0.144749373,0.079181246,,
514,Oil,2017,5/28/2017,5/28/2017,Beetle,0.133333333,0.516397779,0.133333333,0.054357662,,
519,Oil,2017,5/30/2017,5/30/2017,Beetle,,,,0,,
524,Oil,2017,6/1/2017,6/1/2017,Beetle,0,0,0,0,,
529,Oil,2017,6/2/2017,6/2/2017,Beetle,,,,0,,
534,Oil,2017,6/5/2017,6/5/2017,Beetle,0.066666667,0.25819889,0.066666667,0.028028724,,
539,Oil,2017,6/8/2017,6/8/2017,Beetle,0,0,0,0,,
491,Oil,2017,5/17/2017,5/17/2017,Larvae,9.266666667,4.891197146,1.262901673,1.011429462,,2.267993648
496,Oil,2017,5/19/2017,5/19/2017,Larvae,3.2,1.971221521,0.508967208,0.62324929,,
501,Oil,2017,5/22/2017,5/22/2017,Larvae,1.666666667,1.112697281,0.287297202,0.425968732,,
506,Oil,2017,5/25/2017,5/25/2017,Larvae,1.866666667,1.597617273,0.412503006,0.457377197,,
511,Oil,2017,5/28/2017,5/28/2017,Larvae,0,0,0,0,,
516,Oil,2017,5/30/2017,5/30/2017,Larvae,,,,0,,
521,Oil,2017,6/1/2017,6/1/2017,Larvae,0,0,0,0,,
526,Oil,2017,6/2/2017,6/2/2017,Larvae,,,,0,,
531,Oil,2017,6/5/2017,6/5/2017,Larvae,0,0,0,0,,
536,Oil,2017,6/8/2017,6/8/2017,Larvae,0,0,0,0,,
492,Oil,2017,5/17/2017,5/17/2017,Pupae,0,0,0,0,,
497,Oil,2017,5/19/2017,5/19/2017,Pupae,0,0,0,0,,
502,Oil,2017,5/22/2017,5/22/2017,Pupae,0.6,0.91025899,0.235027861,0.204119983,,
507,Oil,2017,5/25/2017,5/25/2017,Pupae,5.666666667,5.205308646,1.344004913,0.823908741,,
512,Oil,2017,5/28/2017,5/28/2017,Pupae,3.2,3.913347124,1.010421883,0.62324929,,
517,Oil,2017,5/30/2017,5/30/2017,Pupae,,,,0,,
522,Oil,2017,6/1/2017,6/1/2017,Pupae,1.733333333,1.709915063,0.441498171,0.436692598,,
527,Oil,2017,6/2/2017,6/2/2017,Pupae,,,,0,,
532,Oil,2017,6/5/2017,6/5/2017,Pupae,0.066666667,0.25819889,0.066666667,0.028028724,,
537,Oil,2017,6/8/2017,6/8/2017,Pupae,0,0,0,0,,
493,Oil,2017,5/17/2017,5/17/2017,Totallarvpup,9.266666667,4.891197146,1.262901673,1.011429462,,
498,Oil,2017,5/19/2017,5/19/2017,Totallarvpup,3.2,1.971221521,0.508967208,0.62324929,,
503,Oil,2017,5/22/2017,5/22/2017,Totallarvpup,2.266666667,1.334523279,0.344572429,0.514104821,,
508,Oil,2017,5/25/2017,5/25/2017,Totallarvpup,7.533333333,6.174448115,1.594235648,0.931118711,,
513,Oil,2017,5/28/2017,5/28/2017,Totallarvpup,3.2,3.913347124,1.010421883,0.62324929,,
518,Oil,2017,5/30/2017,5/30/2017,Totallarvpup,,,,0,,
523,Oil,2017,6/1/2017,6/1/2017,Totallarvpup,1.733333333,1.709915063,0.441498171,0.436692598,,
528,Oil,2017,6/2/2017,6/2/2017,Totallarvpup,,,,0,,
533,Oil,2017,6/5/2017,6/5/2017,Totallarvpup,0.066666667,0.25819889,0.066666667,0.028028724,,
538,Oil,2017,6/8/2017,6/8/2017,Totallarvpup,0,0,0,0,,
545,SBS,2017,5/17/2017,5/17/2017,Adultcumulative,,,,0,,
550,SBS,2017,5/22/2017,5/22/2017,Adultcumulative,,,,0,,
555,SBS,2017,5/28/2017,5/28/2017,Adultcumulative,,,,0,,
560,SBS,2017,6/5/2017,6/5/2017,Adultcumulative,,,,0,,
565,SBS,2017,6/11/2017,6/11/2017,Adultcumulative,,,,0,,
544,SBS,2017,5/17/2017,5/17/2017,Beetle,0,0,0,0,,
549,SBS,2017,5/22/2017,5/22/2017,Beetle,0,0,0,0,,
554,SBS,2017,5/28/2017,5/28/2017,Beetle,0.666666667,0.899735411,0.232310684,0.22184875,,
559,SBS,2017,6/5/2017,6/5/2017,Beetle,0.333333333,0.487950036,0.125988158,0.124938737,,
564,SBS,2017,6/11/2017,6/11/2017,Beetle,0.466666667,0.639940473,0.16523192,0.166331422,,
541,SBS,2017,5/17/2017,5/17/2017,Larvae,38.2,33.23552316,8.581375181,1.593286067,,
546,SBS,2017,5/22/2017,5/22/2017,Larvae,2.866666667,2.386469798,0.616183852,0.587336735,,
551,SBS,2017,5/28/2017,5/28/2017,Larvae,1.6,2.164651077,0.558910505,0.414973348,,
556,SBS,2017,6/5/2017,6/5/2017,Larvae,0.2,0.774596669,0.2,0.079181246,,
561,SBS,2017,6/11/2017,6/11/2017,Larvae,0,0,0,0,,
542,SBS,2017,5/17/2017,5/17/2017,Pupae,0,0,0,0,,
547,SBS,2017,5/22/2017,5/22/2017,Pupae,0,0,0,0,,
552,SBS,2017,5/28/2017,5/28/2017,Pupae,0,0,0,0,,
557,SBS,2017,6/5/2017,6/5/2017,Pupae,0.866666667,1.552264091,0.400792865,0.271066772,,
562,SBS,2017,6/11/2017,6/11/2017,Pupae,0.133333333,0.516397779,0.133333333,0.054357662,,
543,SBS,2017,5/17/2017,5/17/2017,Totallarvpup,38.2,33.23552316,8.581375181,1.593286067,,
548,SBS,2017,5/22/2017,5/22/2017,Totallarvpup,9.866666667,3.814758309,0.98496636,1.036096345,,
553,SBS,2017,5/28/2017,5/28/2017,Totallarvpup,1.6,2.164651077,0.558910505,0.414973348,,
558,SBS,2017,6/5/2017,6/5/2017,Totallarvpup,1.066666667,2.186538905,0.564561918,0.315270435,,
563,SBS,2017,6/11/2017,6/11/2017,Totallarvpup,0.133333333,0.516397779,0.133333333,0.054357662,,
570,SeahorseWetland,2017,5/23/2017,5/23/2017,Adultcumulative,,,,0,,
575,SeahorseWetland,2017,5/29/2017,5/29/2017,Adultcumulative,,,,0,,
580,SeahorseWetland,2017,6/4/2017,6/4/2017,Adultcumulative,,,,0,,
585,SeahorseWetland,2017,6/10/2017,6/10/2017,Adultcumulative,,,,0,,
590,SeahorseWetland,2017,6/17/2017,6/17/2017,Adultcumulative,,,,0,,
569,SeahorseWetland,2017,5/23/2017,5/23/2017,Beetle,0,0,0,0,,
574,SeahorseWetland,2017,5/29/2017,5/29/2017,Beetle,1.733333333,2.186538905,0.564561918,0.436692598,,
579,SeahorseWetland,2017,6/4/2017,6/4/2017,Beetle,0.4,0.507092553,0.130930734,0.146128036,,
584,SeahorseWetland,2017,6/10/2017,6/10/2017,Beetle,0.066666667,0.25819889,0.066666667,0.028028724,,
589,SeahorseWetland,2017,6/17/2017,6/17/2017,Beetle,0.066666667,0.25819889,0.066666667,0.028028724,,
566,SeahorseWetland,2017,5/23/2017,5/23/2017,Larvae,5.066666667,5.812138366,1.500687673,0.782950133,,
571,SeahorseWetland,2017,5/29/2017,5/29/2017,Larvae,1.8,1.934646516,0.499523583,0.447158031,,
576,SeahorseWetland,2017,6/4/2017,6/4/2017,Larvae,0.866666667,0.990430402,0.25572803,0.271066772,,
581,SeahorseWetland,2017,6/10/2017,6/10/2017,Larvae,0,0,0,0,,
586,SeahorseWetland,2017,6/17/2017,6/17/2017,Larvae,0,0,0,0,,
567,SeahorseWetland,2017,5/23/2017,5/23/2017,Pupae,0,0,0,0,,
572,SeahorseWetland,2017,5/29/2017,5/29/2017,Pupae,0.066666667,0.25819889,0.066666667,0.028028724,,
577,SeahorseWetland,2017,6/4/2017,6/4/2017,Pupae,1.666666667,1.67616342,0.432783534,0.425968732,,
582,SeahorseWetland,2017,6/10/2017,6/10/2017,Pupae,6.4,5.852960179,1.51122782,0.86923172,,
587,SeahorseWetland,2017,6/17/2017,6/17/2017,Pupae,0,0,0,0,,
568,SeahorseWetland,2017,5/23/2017,5/23/2017,Totallarvpup,5.066666667,5.812138366,1.500687673,0.782950133,,
573,SeahorseWetland,2017,5/29/2017,5/29/2017,Totallarvpup,1.866666667,1.959105724,0.505838923,0.457377197,,
578,SeahorseWetland,2017,6/4/2017,6/4/2017,Totallarvpup,2.533333333,1.807392228,0.466666667,0.548184611,,
583,SeahorseWetland,2017,6/10/2017,6/10/2017,Totallarvpup,6.4,5.852960179,1.51122782,0.86923172,,
588,SeahorseWetland,2017,6/17/2017,6/17/2017,Totallarvpup,0,0,0,0,,
595,ShotgunFairy,2017,5/17/2017,5/17/2017,Adultcumulative,,,,0,,
600,ShotgunFairy,2017,5/22/2017,5/22/2017,Adultcumulative,,,,0,,
605,ShotgunFairy,2017,5/28/2017,5/28/2017,Adultcumulative,,,,0,,
610,ShotgunFairy,2017,6/5/2017,6/5/2017,Adultcumulative,,,,0,,
615,ShotgunFairy,2017,6/11/2017,6/11/2017,Adultcumulative,,,,0,,
594,ShotgunFairy,2017,5/17/2017,5/17/2017,Beetle,0,0,0,0,,
599,ShotgunFairy,2017,5/22/2017,5/22/2017,Beetle,0,0,0,0,,
604,ShotgunFairy,2017,5/28/2017,5/28/2017,Beetle,0.2,0.414039336,0.106904497,0.079181246,,
609,ShotgunFairy,2017,6/5/2017,6/5/2017,Beetle,0.2,0.414039336,0.106904497,0.079181246,,
